tth,COR,HYM,CAL
32.82816899,82,304,96
32.85442956,86,366,90
32.88069012,76,325,67
32.90695069,87,360,81
32.93321125,77,436,88
32.95947182,79,446,94
32.98573238,102,474,72
33.01199295,67,537,95
33.03825352,85,588,99
33.06451408,80,602,80
33.09077465,82,796,98
33.11703521,53,863,81
33.14329578,79,945,110
33.16955634,78,1076,90
33.19581691,70,1213,68
33.22207747,70,1362,83
33.24833804,73,1445,91
33.2745986,81,1517,72
33.30085917,66,1454,95
33.32711973,71,1444,87
33.3533803,91,1379,90
33.37964086,77,1279,94
33.40590143,79,1180,87
33.432162,86,1017,82
33.45842256,85,972,89
33.48468313,86,788,92
33.51094369,78,680,80
33.53720426,91,642,77
33.56346482,77,556,82
33.58972539,100,437,88
33.61598595,64,441,64
33.64224652,93,433,85
33.66850708,106,388,84
33.69476765,82,343,74
33.72102821,73,333,98
33.74728878,82,333,79
33.77354934,70,329,71
33.79980991,70,349,66
33.82607048,86,308,94
33.85233104,76,332,88
33.87859161,88,363,72
33.90485217,93,331,77
33.93111274,92,346,95
33.9573733,96,373,75
33.98363387,85,448,80
34.00989443,96,410,78
34.036155,92,437,81
34.06241556,88,378,54
34.08867613,74,345,69
34.11493669,62,361,71
34.14119726,95,343,72
34.16745783,82,284,80
34.19371839,87,291,78
34.21997896,102,264,80
34.24623952,95,243,81
34.27250009,89,202,83
34.29876065,90,252,75
34.32502122,87,240,77
34.35128178,113,253,82
34.37754235,128,227,94
34.40380291,113,222,84
34.43006348,106,238,80
34.45632404,102,227,110
34.48258461,94,254,79
34.50884517,115,211,78
34.53510574,108,220,82
34.56136631,97,225,77
34.58762687,117,253,83
34.61388744,140,235,89
34.640148,118,232,76
34.66640857,116,252,78
34.69266913,146,228,83
34.7189297,135,258,74
34.74519026,152,244,74
34.77145083,197,255,75
34.79771139,188,237,87
34.82397196,195,279,78
34.85023252,248,258,96
34.87649309,296,280,93
34.90275366,352,272,73
34.92901422,495,303,68
34.95527479,685,312,68
34.98153535,979,345,75
35.00779592,1362,346,88
35.03405648,2033,365,77
35.06031705,3149,425,98
35.08657761,5113,438,85
35.11283818,7814,475,81
35.13909874,10848,480,85
