tth,counts
26.23166709,227
26.25792765,204
26.28418822,219
26.31044878,256
26.33670935,220
26.36296991,249
26.38923048,245
26.41549105,271
26.44175161,252
26.46801218,267
26.49427274,296
26.52053331,280
26.54679387,273
26.57305444,330
26.599315,392
26.62557557,412
26.65183613,449
26.6780967,526
26.70435726,617
26.73061783,698
26.7568784,816
26.78313896,909
26.80939953,1079
26.83566009,1107
26.86192066,1200
26.88818122,1215
26.91444179,1177
26.94070235,1148
26.96696292,1041
26.99322348,868
27.01948405,777
27.04574461,673
27.07200518,599
27.09826574,511
27.12452631,410
27.15078688,372
27.17704744,380
27.20330801,338
27.22956857,353
27.25582914,348
27.2820897,284
27.30835027,313
27.33461083,314
27.3608714,289
27.38713196,282
27.41339253,307
27.43965309,293
27.46591366,314
27.49217422,295
27.51843479,314
27.54469536,313
27.57095592,380
27.59721649,411
27.62347705,433
27.64973762,447
27.67599818,522
27.70225875,588
27.72851931,622
27.75477988,681
27.78104044,716
27.80730101,765
27.83356157,714
27.85982214,699
27.88608271,719
27.91234327,654
27.93860384,641
27.9648644,617
27.99112497,570
28.01738553,584
28.0436461,582
28.06990666,590
28.09616723,589
28.12242779,645
28.14868836,651
28.17494892,767
28.20120949,733
28.22747005,809
28.25373062,816
28.27999119,849
28.30625175,835
28.33251232,780
28.35877288,771
28.38503345,687
28.41129401,707
28.43755458,608
28.46381514,615
28.49007571,547
28.51633627,520
28.54259684,479
28.5688574,492
28.59511797,548
28.62137854,513
28.6476391,558
28.67389967,591
28.70016023,561
28.7264208,655
28.75268136,720
28.77894193,730
28.80520249,703
28.83146306,735
28.85772362,719
28.88398419,671
28.91024475,614
28.93650532,613
28.96276588,542
28.98902645,528
29.01528702,469
29.04154758,406
29.06780815,432
29.09406871,420
29.12032928,384
29.14658984,394
29.17285041,366
29.19911097,333
29.22537154,367
29.2516321,376
29.27789267,324
29.30415323,333
29.3304138,313
29.35667437,293
29.38293493,264
29.4091955,293
29.43545606,234
29.46171663,245
29.48797719,250
29.51423776,211
29.54049832,216
29.56675889,253
29.59301945,253
29.61928002,246
29.64554058,214
29.67180115,215
29.69806171,239
29.72432228,265
29.75058285,219
29.77684341,227
29.80310398,222
29.82936454,286
29.85562511,243
29.88188567,222
29.90814624,242
29.9344068,266
29.96066737,274
29.98692793,244
30.0131885,253
30.03944906,246
30.06570963,274
30.0919702,257
30.11823076,287
30.14449133,306
30.17075189,326
30.19701246,313
30.22327302,331
30.24953359,360
30.27579415,394
30.30205472,421
30.32831528,480
30.35457585,519
30.38083641,545
30.40709698,630
30.43335754,666
30.45961811,728
30.48587868,854
30.51213924,940
30.53839981,1083
30.56466037,1195
30.59092094,1375
30.6171815,1601
30.64344207,1788
30.66970263,1944
30.6959632,2438
30.72222376,2731
30.74848433,3096
30.77474489,3351
30.80100546,3731
30.82726603,3767
30.85352659,3628
30.87978716,3262
30.90604772,2918
30.93230829,2520
30.95856885,2064
30.98482942,1641
31.01108998,1367
31.03735055,1112
31.06361111,936
31.08987168,787
31.11613224,714
31.14239281,640
31.16865337,606
31.19491394,465
31.22117451,426
31.24743507,415
31.27369564,397
31.2999562,396
31.32621677,374
31.35247733,393
31.3787379,333
31.40499846,385
31.43125903,391
31.45751959,418
31.48378016,426
31.51004072,444
31.53630129,502
31.56256186,457
31.58882242,440
31.61508299,390
31.64134355,393
31.66760412,407
31.69386468,346
31.72012525,304
31.74638581,314
31.77264638,307
31.79890694,286
31.82516751,276
31.85142807,252
31.87768864,257
31.9039492,236
31.93020977,259
31.95647034,244
31.9827309,232
32.00899147,271
32.03525203,256
32.0615126,243
32.08777316,268
32.11403373,292
32.14029429,290
32.16655486,330
32.19281542,350
32.21907599,382
32.24533655,357
32.27159712,393
32.29785769,394
32.32411825,369
32.35037882,316
32.37663938,304
32.40289995,286
32.42916051,273
32.45542108,256
32.48168164,255
32.50794221,236
32.53420277,225
32.56046334,246
32.5867239,239
32.61298447,243
32.63924503,211
32.6655056,224
32.69176617,227
32.71802673,226
32.7442873,242
32.77054786,236
32.79680843,258
32.82306899,262
32.84932956,269
32.87559012,286
32.90185069,285
32.92811125,341
32.95437182,369
32.98063238,379
33.00689295,435
33.03315352,520
33.05941408,545
33.08567465,590
33.11193521,648
33.13819578,708
33.16445634,821
33.19071691,953
33.21697747,932
33.24323804,977
33.2694986,1099
33.29575917,1068
33.32201973,1006
33.3482803,924
33.37454086,906
33.40080143,842
33.427062,712
33.45332256,650
33.47958313,585
33.50584369,451
33.53210426,470
33.55836482,368
33.58462539,360
33.61088595,333
33.63714652,295
33.66340708,303
33.68966765,274
33.71592821,226
33.74218878,260
33.76844934,259
33.79470991,266
33.82097048,232
33.84723104,246
33.87349161,283
33.89975217,283
33.92601274,292
33.9522733,334
33.97853387,344
34.00479443,337
34.031055,330
34.05731556,289
34.08357613,288
34.10983669,263
34.13609726,236
34.16235783,228
34.18861839,226
34.21487896,209
34.24113952,197
34.26740009,180
34.29366065,180
34.31992122,205
34.34618178,200
