tth,counts
29.27789267,2402
29.30415323,3317
29.3304138,4950
29.35667437,7718
29.38293493,11735
29.4091955,15311
29.43545606,13741
29.46171663,10638
29.48797719,9448
29.51423776,6759
29.54049832,3823
29.56675889,2369
29.59301945,1651
29.61928002,1260
29.64554058,1013
29.67180115,834
29.69806171,662
29.72432228,575
29.75058285,553
29.77684341,446
29.80310398,394
29.82936454,338
29.85562511,342
29.88188567,312
29.90814624,275
29.9344068,270
29.96066737,267
29.98692793,204
30.0131885,226
30.03944906,209
30.06570963,176
30.0919702,184
30.11823076,187
30.14449133,185
30.17075189,178
30.19701246,180
30.22327302,145
30.24953359,147
30.27579415,147
30.30205472,123
30.32831528,137
30.35457585,135
30.38083641,133
30.40709698,130
30.43335754,117
30.45961811,140
30.48587868,115
30.51213924,138
30.53839981,109
30.56466037,128
30.59092094,121
30.6171815,126
30.64344207,129
30.66970263,139
30.6959632,116
30.72222376,112
30.74848433,118
30.77474489,133
30.80100546,123
30.82726603,116
30.85352659,131
30.87978716,112
30.90604772,121
30.93230829,131
30.95856885,128
30.98482942,135
31.01108998,127
31.03735055,115
31.06361111,104
31.08987168,117
31.11613224,126
31.14239281,122
31.16865337,124
31.19491394,135
31.22117451,131
31.24743507,147
31.27369564,146
31.2999562,148
31.32621677,194
31.35247733,183
31.3787379,243
31.40499846,318
31.43125903,394
31.45751959,464
31.48378016,355
31.51004072,314
31.53630129,323
31.56256186,208
31.58882242,188
31.61508299,148
31.64134355,141
31.66760412,154
31.69386468,131
31.72012525,92
31.74638581,128
31.77264638,124
31.79890694,111
31.82516751,115
31.85142807,102
31.87768864,112
31.9039492,101
31.93020977,109
31.95647034,138
31.9827309,95
32.00899147,73
32.03525203,104
32.0615126,102
32.08777316,77
32.11403373,99
32.14029429,86
32.16655486,95
32.19281542,89
32.21907599,88
32.24533655,81
32.27159712,93
32.29785769,89
32.32411825,91
32.35037882,84
32.37663938,94
32.40289995,102
32.42916051,86
32.45542108,100
32.48168164,70
32.50794221,89
32.53420277,80
32.56046334,77
32.5867239,90
32.61298447,68
32.63924503,70
32.6655056,79
32.69176617,83
32.71802673,77
32.7442873,85
32.77054786,89
32.79680843,57
32.82306899,79
32.84932956,91
32.87559012,103
32.90185069,85
32.92811125,83
32.95437182,75
32.98063238,82
33.00689295,85
33.03315352,103
33.05941408,88
33.08567465,69
33.11193521,91
33.13819578,80
33.16445634,82
33.19071691,87
33.21697747,81
33.24323804,94
33.2694986,77
33.29575917,81
33.32201973,66
33.3482803,91
33.37454086,93
33.40080143,83
33.427062,80
33.45332256,68
33.47958313,84
33.50584369,102
33.53210426,95
33.55836482,71
33.58462539,78
33.61088595,78
33.63714652,83
33.66340708,83
33.68966765,98
33.71592821,71
33.74218878,88
33.76844934,84
33.79470991,93
33.82097048,79
33.84723104,75
33.87349161,79
33.89975217,77
33.92601274,83
33.9522733,64
33.97853387,63
34.00479443,83
34.031055,76
34.05731556,78
34.08357613,83
34.10983669,90
34.13609726,67
34.16235783,61
34.18861839,81
34.21487896,82
34.24113952,76
34.26740009,77
34.29366065,69
34.31992122,87
34.34618178,91
34.37244235,83
34.39870291,81
34.42496348,70
34.45122404,73
34.47748461,68
34.50374517,74
34.53000574,103
34.55626631,78
34.58252687,74
34.60878744,80
34.635048,89
